1,NintendoS.T.A.R.,6382627
2,Sellyme,4978484
3,Gilbster,3128712
4,AntoninZeKing,2819151
5,Undead,2633979
6,ThePandaEmperor,2102647
7,Magiclapras,2073202
8,TheBrain,1981682
9,Groudon199,1577116
10,Smoka,1482244
11,Warrn,1447014
12,Ayron,1394977
13,Crispy23,1354367
14,bman7,1354328
15,LeahKazuno,1302400
16,turtle730,1231767
17,TheRubyMoon,1135137
18,wheatrich,1113818
19,Jakilutra,1103405
20,ToMMyCZE,1036395
21,MBuckets,1006328
22,Petrarca,978619
23,HyperSonic7701,968424
24,MauST,955141
25,Grace,915693
26,MKDSLuke,827941
27,AlexW03,822027
28,PAPIOL,807234
29,Ikkatosh23,792280
30,Acedit,780007
31,L3VV15,779510
32,MegaSephiroth47,733754
33,F1Krazy,689774
34,Lucario,669493
35,955561976,622561
36,Pokemonmaster888,619820
37,mumei,606967
38,Marth996,600942
39,Mandalore,594227
40,Lafungo,577101
41,Barthax,556011
42,JMX2280,527242
43,HW456,512919
44,LJMarv,502192
45,SkyImprisoned,500908
46,YoyoYoshi,498059
47,Levyorg,493472
48,Theroadrunner95,490036
49,Mikebloke,487621
50,YusufT19,441902
51,Siliconian,441894
52,malkieriking,432486
53,haavarddahle,431155
54,Ephief,425174
55,SadisticMystic,417968
56,Zord,417246
57,Matomoto,401034
58,Hexcus,397586
59,Nielske,395460
60,Dmo1123,389425
61,PixeSukola,375310
62,webko,332832
63,Djon,330823
64,Rubik,330222
65,GenaritoBike,325767
66,Telna,314671
67,JeroenSch,295360
68,nicole12,293827
69,Yoshistar95,293180
70,Muchietan,289546
71,tanmayron,284447
72,Klarkio,282210
73,BtodaR,279934
74,shabahang,270177
75,LeoMK,269749
76,Phillius,264011
77,MTC,263946
78,Egorbig14,263886
79,BielR3,260875
80,Vallu,260647
81,Blazula,257763
82,hfactor66,240449
83,PsyMar,232911
84,BlackHawk61,231149
85,CloeMoe,228760
86,greycatmon,226006
87,MonkaMan,225625
88,blondafro,225037
89,lafoot2,224815
90,bks,220436
91,Really_Tall,218030
92,walmanmart,217221
93,33TAILS,214672
94,hellsbells,209286
95,thakkhte,201831
96,ACPlay18,197710
97,emrald,187922
98,flipmstr2,187196
99,Nuke,185322
100,Minimariner,182939
