1,Sellyme,11.48
2,Gilbster,11.06
3,evanmrob,10.68
4,Walnut,10.37
5,Grace,10.21
6,Dmo1123,10.14
7,Lafungo,10.08
8,Magiclapras,10.08
9,wiki,10.03
10,TheRubyMoon,9.95
11,bman7,9.79
12,TheBrain,9.61
13,BlueDragon43,9.59
14,MKDSLuke,9.50
15,SamuraiGoroh,9.50
16,Undead,9.49
17,Really_Tall,9.44
18,MegaSephiroth47,9.43
19,Nielske,9.18
20,MBuckets,9.10
21,Sniwott,9.06
22,YoyoYoshi,9.05
23,BrownDuck14,9.04
24,Muchietan,9.03
25,Vallu,8.98
26,nicole12,8.90
27,Levyorg,8.85
28,Mandalore,8.84
29,Jakilutra,8.76
30,AlexW03,8.65
31,NintendoS.T.A.R.,8.63
32,mimosa,8.58
33,PAPIOL,8.54
34,muziqaz,8.48
35,IronInvoker47,8.47
36,Groudon199,8.47
37,Otterstone,8.42
38,F1Krazy,8.39
39,Zord,8.34
40,JeroenSch,8.33
41,Manucoel,8.26
42,HW456,8.13
43,silkychris999,8.04
44,Ikkatosh23,8.01
45,955561976,7.96
46,ScarletWings92,7.95
47,ScienceTynan,7.93
48,Folkius,7.82
49,Warrn,7.77
50,xPrincessKiarax,7.71
51,Zimbo,7.70
52,FROGO,7.64
53,hotdogturtle,7.58
54,Phillius,7.53
55,Djon,7.52
56,Comical,7.50
57,Crispy23,7.45
58,aelogan,7.35
59,PsyMar,7.33
60,TheFunHouse,7.04
61,wheatrich,7.03
62,ThePandaEmperor,7.02
63,satori1707,6.99
64,Nuke,6.92
65,RJAIN,6.90
66,Telna,6.84
67,Sokaren,6.80
68,locks,6.75
69,DiamondN1nja,6.67
70,Speedrunner,6.65
71,DigitalDetective47,6.62
72,oogachaga,6.58
73,Emperor91,6.54
74,AntoninZeKing,6.50
75,Gamechamp,6.45
76,McKiddy,6.42
77,CalvinLP,6.40
78,RHVGamer,6.38
79,Hornlitz,6.38
80,LeoMK,6.31
81,Yoshistar95,6.29
82,Egorbig14,6.25
83,FetaccineAlfredo,6.22
84,Funguy161,6.18
85,Petrarca,6.10
86,MECHDRAGON777,6.10
87,Snowy,5.96
88,Sephirah,5.96
89,herpingyoshi,5.93
90,Smoka,5.89
91,SeruranBlue,5.86
92,TFisher93,5.82
93,DjRova,5.77
94,Cream147,5.68
95,speedruntrainer,5.63
96,Burcheck,5.51
97,Dktsunami2,5.51
98,MelonGx,5.51
99,Marth996,5.50
100,swf89,5.39
