1,Sellyme,35069
2,AntoninZeKing,24046
3,BlueDragon43,20892
4,HyperSonic7701,15692
5,Grace,14285
6,TheRubyMoon,13484
7,Undead,13361
8,Gilbster,11905
9,BrownDuck14,11797
10,yicestmoi,10393
11,Really_Tall,9450
12,Djon,8960
13,Emperor91,8607
14,F1Krazy,8400
15,AlexW03,7601
16,MegaSephiroth47,7157
17,nicole12,7016
18,Sniwott,6896
19,YoyoYoshi,6888
20,evanmrob,6613
21,PMniac,6606
22,Smoka,6212
23,Siliconian,6140
24,Mandalore,6138
25,Vallu,5803
26,TheBrain,5719
27,mumei,5101
28,Lucario,4813
29,speedruntrainer,4632
30,Pokemonmaster888,4571
31,PAPIOL,4540
32,Telna,4343
33,LJMarv,4313
34,Zord,4202
35,ThePandaEmperor,4197
36,MKDSLuke,4096
37,Zimer,4061
38,Folkius,4021
39,Levyorg,4005
40,MBuckets,4000
41,Marth996,3689
42,hotdogturtle,3658
43,muziqaz,3657
44,ACPlay18,3633
45,Otterstone,3590
46,Dmo1123,3569
47,Comical,3489
48,Nillew,3482
49,wiki,3475
50,LeahKazuno,3444
51,SkyImprisoned,3360
52,Brylarke,3337
53,HW456,3333
54,Flothaboss,3212
55,Snowy,3207
56,Demolition14,3166
57,Warrn,3105
58,mimosa,3017
59,33TAILS,2969
60,turtle730,2959
61,TheFunHouse,2918
62,packattack,2881
63,NintendoS.T.A.R.,2861
64,yoshi24kobe,2762
65,Rimsala,2580
66,Zimbo,2519
67,Egorbig14,2486
68,Nuke,2430
69,Crispy23,2422
70,Silverboxer,2346
71,Lafungo,2319
72,Groudon199,2214
73,L3VV15,2132
74,ScarletWings92,2130
75,JeroenSch,2114
76,Theroadrunner95,2087
77,Acedit,2069
78,Nim,2023
79,Muchietan,2020
80,Minimariner,1997
81,PsyMar,1926
82,sausage948,1906
83,StephenDW,1816
84,Alessio954,1756
85,MrRobTer12,1704
86,swf89,1691
87,Jacob1,1688
88,SpeedyGT,1686
89,MetalSmasher86,1631
90,Yoriko,1596
91,Dawid8404,1554
92,DigitalDetective47,1544
93,Jxcxb91,1540
94,Funguy161,1533
95,herpingyoshi,1421
96,Gonquai,1410
97,xPrincessKiarax,1391
98,Crono,1390
99,BCL,1369
100,Hexcus,1360
