1,Sellyme,167591
2,NintendoS.T.A.R.,77077
3,BlueDragon43,74944
4,AntoninZeKing,66765
5,TheRubyMoon,64264
6,Undead,63787
7,Grace,60697
8,TheBrain,57373
9,AlexW03,50333
10,BrownDuck14,47291
11,Gilbster,46767
12,MKDSLuke,46223
13,Vallu,45514
14,Lafungo,44885
15,Emperor91,44237
16,HyperSonic7701,41480
17,yicestmoi,32533
18,Siliconian,31664
19,PMniac,30608
20,packattack,29771
21,mumei,27886
22,wheatrich,26386
23,Really_Tall,26362
24,MegaSephiroth47,25549
25,Silverboxer,23543
26,Lucario,23200
27,Mandalore,22892
28,Magiclapras,22358
29,33TAILS,22280
30,YoyoYoshi,21901
31,yoshi24kobe,20961
32,Pokemonmaster888,20902
33,Ayron,20653
34,evanmrob,19969
35,Djon,19713
36,BCL,19285
37,Smoka,19267
38,PAPIOL,18925
39,Groudon199,18717
40,LeeBoon,18415
41,speedruntrainer,18096
42,Egorbig14,18010
43,Alessio954,17756
44,SkyImprisoned,17558
45,Nielske,17539
46,Rimsala,17323
47,Nim,17224
48,Jakilutra,17179
49,MBuckets,16900
50,LeahKazuno,16746
51,Kirby54,16603
52,MrVette,16403
53,Warrn,16401
54,F1Krazy,16203
55,bman7,16140
56,LJMarv,16110
57,Sniwott,16088
58,Telna,16013
59,MrRobTer12,15843
60,ThePandaEmperor,15593
61,Crono,15262
62,LeoMK,15235
63,Gamechamp,15160
64,Snowy,15093
65,Zimer,15005
66,Dmo1123,14938
67,malkieriking,14662
68,nick14,14617
69,nicole12,14357
70,IronInvoker47,14200
71,SamuraiGoroh,14087
72,ALAKTORN,14080
73,wadoludo,13915
74,Flothaboss,13896
75,MetalSmasher86,13763
76,Crispy23,13676
77,Demolition14,13639
78,hotdogturtle,13577
79,Levyorg,13543
80,Hexcus,13510
81,SuprRooster,13476
82,ACPlay18,13320
83,Minimariner,13123
84,mimosa,12970
85,Otterstone,12963
86,Ikkatosh23,12927
87,Miles,12713
88,Nuke,12567
89,Nillew,12562
90,PsyMar,12509
91,StephenDW,12477
92,Barthax,12370
93,Folkius,12277
94,BlackHawk61,12276
95,sausage948,12272
96,RichardTaro,12232
97,PurplePanda21,12161
98,Prenz,12153
99,Jxcxb91,12144
100,JeroenSch,12128
