1,Sellyme,675026
2,wheatrich,341321
3,PMniac,259832
4,Nillew,230022
5,TheBrain,208781
6,Gilbster,195371
7,TheRubyMoon,183171
8,Grace,177981
9,BrownDuck14,168879
10,Egorbig14,144506
11,33TAILS,137972
12,brendangelo,114980
13,fayethesmol,104259
14,bman7,97860
15,AntoninZeKing,96024
16,mumei,85438
17,Lafungo,78065
18,BlueDragon43,69606
19,AlexW03,68578
20,MKDSLuke,68534
21,yicestmoi,54722
22,Crispy23,54120
23,Cirion02,48084
24,Telna,44518
25,HyperSonic7701,44164
26,Undead,41147
27,Ikkatosh23,40635
28,JeroenSch,40222
29,FROGO,37113
30,Marth996,25907
31,Magiclapras,24883
32,McKiddy,22414
33,Comical,22174
34,Levyorg,21995
35,Dmo1123,18475
36,PsyMar,18395
37,DiamondN1nja,18346
38,Cream147,17592
39,SkyImprisoned,16737
40,LeahKazuno,15703
41,izzyke,15301
42,Phillius,15162
43,PAPIOL,13337
44,ThePandaEmperor,13204
45,MegaSephiroth47,13084
46,LeeBoon,13040
47,Basthon,13040
48,Sokaren,12697
49,DigitalDetective47,12531
50,TFisher93,11709
51,Sniwott,11279
52,IronInvoker47,10908
53,floan,10647
54,Gamechamp,10516
55,SamuraiGoroh,8385
56,skedar,8352
57,blondafro,7867
58,locks,7511
59,MrVette,6544
60,vgm777,5367
61,Chlorate,5364
62,YoyoYoshi,5087
63,DarQMassacres,4995
64,Mikebloke,4919
65,fallingmountain,4548
66,Smoka,4204
67,Flothaboss,4154
68,Zimer,4135
69,SuperVolcano,4107
70,Really_Tall,3948
71,GibGirl,3874
72,nezhi,2952
73,Warrn,2765
74,Vallu,2724
75,Silverboxer,2677
76,Gonquai,2549
77,ProInfernape,2522
78,zaldor,2456
79,charrac,2272
80,Ironninja1116,2211
81,HW456,2101
82,Ayron,2098
83,ALAKTORN,1833
84,LoreU,1735
85,Theeateroffood,1658
86,Pokemonmaster888,1645
87,Frostbyte,1586
88,Visitant,1567
89,F1Krazy,1543
90,MrExquisite,1489
91,MrRobTer12,1427
92,MahDood,1324
93,Nuke,1246
94,MBuckets,1225
95,speedruntrainer,1223
96,Hawkins2,1197
97,evanmrob,1192
98,LiiGHTz,1098
99,pkaddict58,1061
100,nnmn,999
