1,Sellyme,5793.86
2,NintendoS.T.A.R.,5216.59
3,Undead,4007.28
4,BlueDragon43,3581.90
5,Emperor91,2922.24
6,TheBrain,2893.76
7,yicestmoi,2708.47
8,packattack,2524.20
9,AntoninZeKing,2264.96
10,Vallu,2220.13
11,HyperSonic7701,2137.06
12,Grace,2038.25
13,Lucario,1913.25
14,Kirby54,1688.85
15,Silverboxer,1686.88
16,33TAILS,1676.79
17,TheRubyMoon,1551.90
18,AlexW03,1520.68
19,Mandalore,1504.81
20,BCL,1493.33
21,Gilbster,1491.74
22,wadoludo,1483.88
23,wheatrich,1356.27
24,PAPIOL,1306.70
25,mumei,1214.28
26,BrownDuck14,1210.86
27,MKDSLuke,1184.68
28,Ayron,1183.37
29,Nielske,1165.78
30,Crono,1149.06
31,LeeBoon,1141.31
32,aweejnas,1124.19
33,PMniac,1116.18
34,yoshi24kobe,1111.86
35,Pokemonmaster888,1103.53
36,Alessio954,1090.56
37,Djon,1069.30
38,Lafungo,1052.07
39,Really_Tall,1049.93
40,LJMarv,1048.36
41,MrVette,1004.98
42,Jakilutra,1002.12
43,Prenz,996.56
44,Groudon199,984.94
45,ALAKTORN,974.70
46,Siliconian,974.14
47,mimosa,972.55
48,Nim,962.15
49,SkyImprisoned,952.17
50,Magiclapras,946.49
51,Flothaboss,935.66
52,Warrn,905.89
53,nicole12,871.29
54,floan,871.27
55,SuprRooster,840.49
56,Cpt.JJ,835.55
57,Hexcus,830.72
58,SW1988,826.96
59,SamuraiGoroh,826.23
60,Zimer,813.16
61,blondafro,786.85
62,MrRobTer12,785.73
63,Smoka,771.19
64,Snowy,767.54
65,slowbro,760.86
66,Al_X,759.75
67,micmic85,755.74
68,bh0ukk,752.04
69,malkieriking,738.20
70,nick14,729.95
71,bman7,723.79
72,Sniwott,723.42
73,hotdogturtle,715.71
74,LeoMK,712.87
75,ThePandaEmperor,708.47
76,sausage948,683.92
77,FocusSight,682.84
78,Gamechamp,678.45
79,Starkiller,675.32
80,FUKA63,669.72
81,TRINDEL,665.51
82,Demolition14,665.21
83,Crispy23,657.76
84,Dmo1123,654.70
85,feketerigo,651.81
86,RichardTaro,647.33
87,F1Krazy,645.75
88,YoyoYoshi,642.86
89,speedruntrainer,641.79
90,Miles,641.66
91,BlackHawk61,640.97
92,Giant,631.71
93,STL,626.18
94,Jxcxb91,610.37
95,PlanesWalker,604.90
96,earlcash05,604.67
97,DarkspinesSonic,592.56
98,PurplePanda21,590.94
99,Anwonu,581.65
100,MelonGx,581.55
