1,Emperor91,64615
2,PMniac,59097
3,NintendoS.T.A.R.,48552
4,AntoninZeKing,47779
5,packattack,47511
6,TheRubyMoon,46615
7,Vallu,44674
8,HyperSonic7701,37889
9,Silverboxer,37758
10,TheBrain,37446
11,AlexW03,37082
12,Sellyme,36231
13,yoshi24kobe,35872
14,Undead,35495
15,SkyImprisoned,34487
16,Djon,33900
17,Zimer,33513
18,Lucario,33004
19,Kirby54,28651
20,33TAILS,28440
21,BlueDragon43,28071
22,yicestmoi,28019
23,Grace,25847
24,Ayron,25813
25,BlueStar30,24400
26,Crono,23954
27,mumei,23570
28,Groudon199,23469
29,Smoka,23283
30,ThePandaEmperor,22744
31,ALAKTORN,22707
32,Mandalore,22011
33,LeoMK,21712
34,Alessio954,20822
35,slowbro,20808
36,Cremdogz,20474
37,wadoludo,18848
38,BCL,18834
39,SuprRooster,18449
40,Starkiller,18074
41,Lafungo,17805
42,wheatrich,17521
43,Pokemonmaster888,17477
44,LeeBoon,17459
45,Flothaboss,17427
46,SpeedFreak,17408
47,Gamechamp,16988
48,Prenz,16909
49,floan,16831
50,LJMarv,16634
51,BlackHawk61,16178
52,Rimsala,16051
53,STL,15689
54,PapMario,15581
55,Warrn,15185
56,StrangerNemesis,15169
57,Barthax,14941
58,PAPIOL,14757
59,blondafro,14655
60,earlcash05,14566
61,Anwonu,14547
62,blueray,14546
63,Magiclapras,14541
64,Shadeheart,14384
65,MrVette,13882
66,Nielske,13861
67,ACPlay18,13790
68,NicholasHarvey,13752
69,Crispy23,13652
70,Snowy,13630
71,ItzKy,13405
72,Jacob1,13312
73,zaldor,12964
74,Egorbig14,12853
75,Al_X,12738
76,MegaSephiroth47,12562
77,Winslinator,12435
78,TRINDEL,12380
79,Hexcus,12320
80,RealXXXTurkey,12314
81,MTC,12303
82,Kleenex,12121
83,MBuckets,11978
84,Cpt.JJ,11929
85,speedruntrainer,11914
86,sausage948,11815
87,Chlorate,11800
88,cliffcat,11783
89,TigrN,11766
90,MM007,11762
91,Nim,11666
92,Tenchio,11632
93,RichardTaro,11557
94,FocusSight,11505
95,Lithemith,11473
96,Miles,11466
97,TheMH,11464
98,PlanesWalker,11424
99,TUSM,11402
100,Siliconian,11379
