1,Siliconian,5968
2,BrownDuck14,4449
3,HyperSonic7701,4324
4,Rimsala,2568
5,mumei,1657
6,Sellyme,1621
7,AntoninZeKing,1387
8,BlueDragon43,1363
9,Pokemonmaster888,1263
10,MetalSmasher86,1180
11,IronInvoker47,1131
12,MegaSephiroth47,1099
13,MrRobTer12,1021
14,MBuckets,989
15,Lafungo,838
16,speedruntrainer,826
17,MECHDRAGON777,780
18,packattack,775
19,YoyoYoshi,748
20,nick14,746
21,PMniac,729
22,MKDSLuke,703
23,Miles,650
24,Yoriko,628
25,Lucario,617
26,Otterstone,612
27,BeastlyBro26,574
28,Barthax,572
29,Mengsk,569
30,Minimariner,547
31,Nim,522
32,Smoka,507
33,Silverboxer,492
34,DigitalDetective47,489
35,Grace,477
36,Demolition14,460
37,Gamechamp,459
38,noxai,430
39,luigimaster06,418
40,Gonquai,414
41,Rallis,396
42,Emperor91,391
43,RichardTaro,384
44,Egorbig14,361
45,StephenDW,355
46,Ayrton,346
47,LeahKazuno,336
48,scrap,336
49,Jacob1,309
50,Matt64,286
51,hotdogturtle,269
52,Comical,267
53,Blendra,255
54,KingBoo,250
55,djsterf,245
56,Hannes,236
57,Cpt.JJ,235
58,AlexW03,233
59,BlackHawk61,232
60,TanookiTailTony,232
61,ChaosKnight56,227
62,Etch,216
63,maksimry,213
64,GenoSlyde,212
65,Cmdr,210
66,GroMic,207
67,CG358,204
68,Folkius,203
69,SaimeZX,195
70,iMathII,194
71,earlcash05,191
72,KingSadoth,189
73,Jezs,187
74,JaRoH,187
75,Mastakirby,185
76,SeruranBlue,182
77,Frikkinfriks14,178
78,callumbal,176
79,RealmCopier,176
80,Nillew,175
81,FocusSight,174
82,Cad225,173
83,Jakilutra,172
84,UchihaMadao,170
85,GibGirl,170
86,Undead,169
87,davincentcode,165
88,Th3on3C,165
89,MidiGuy,161
90,Chlorate,158
91,Polonxy,155
92,hfactor66,154
93,zethor,154
94,PixeSukola,153
95,LeeBoon,152
96,YellowRaccoon62,151
97,Telna,151
98,Brylarke,147
99,Pottoww,146
100,Snowy,144
