1,Sellyme,160975
2,BlueDragon43,79364
3,AntoninZeKing,68985
4,Undead,64446
5,TheBrain,56440
6,Grace,54931
7,NintendoS.T.A.R.,50104
8,MKDSLuke,49831
9,BrownDuck14,49827
10,AlexW03,49740
11,TheRubyMoon,48264
12,Vallu,47554
13,Gilbster,44098
14,Emperor91,42392
15,HyperSonic7701,42148
16,yicestmoi,34951
17,Lafungo,32688
18,packattack,32662
19,Siliconian,32065
20,PMniac,30994
21,mumei,27561
22,wheatrich,26458
23,Silverboxer,24205
24,Lucario,23779
25,Mandalore,23497
26,YoyoYoshi,22713
27,33TAILS,22540
28,MegaSephiroth47,21578
29,Magiclapras,21207
30,yoshi24kobe,21164
31,Pokemonmaster888,20953
32,Ayron,20827
33,LeeBoon,20474
34,Smoka,20382
35,Groudon199,19930
36,BCL,19687
37,Djon,19685
38,speedruntrainer,18354
39,SkyImprisoned,17794
40,Jakilutra,17768
41,Nim,17607
42,PAPIOL,17569
43,Rimsala,17388
44,LeahKazuno,17140
45,Alessio954,17055
46,MBuckets,16839
47,Really_Tall,16773
48,Nielske,16732
49,Kirby54,16550
50,LJMarv,16431
51,ThePandaEmperor,16265
52,MrRobTer12,16126
53,Telna,15776
54,Warrn,15774
55,Zimer,15379
56,LeoMK,15306
57,Crono,15228
58,MrVette,15139
59,nick14,15075
60,Egorbig14,14766
61,malkieriking,14686
62,Gamechamp,14649
63,F1Krazy,14632
64,mimosa,14549
65,ALAKTORN,14524
66,wadoludo,14396
67,Flothaboss,14252
68,bman7,14133
69,Demolition14,13887
70,MetalSmasher86,13870
71,SuprRooster,13784
72,Levyorg,13681
73,Hexcus,13650
74,hotdogturtle,13600
75,IronInvoker47,13556
76,Crispy23,13534
77,Otterstone,13531
78,nicole12,13315
79,Ikkatosh23,13120
80,Minimariner,13077
81,evanmrob,13030
82,Sniwott,12746
83,Miles,12612
84,Barthax,12565
85,JeroenSch,12537
86,BlackHawk61,12507
87,RichardTaro,12357
88,FocusSight,12312
89,floan,12299
90,PsyMar,12275
91,Jxcxb91,12189
92,Nillew,12170
93,Cpt.JJ,12056
94,ACPlay18,12044
95,sausage948,11994
96,earlcash05,11915
97,SamuraiGoroh,11902
98,StephenDW,11882
99,Jacob1,11873
100,slowbro,11852
