1,Sellyme,649679
2,wheatrich,338848
3,PMniac,258244
4,Nillew,228333
5,TheBrain,203214
6,Grace,172722
7,Gilbster,172481
8,BrownDuck14,169849
9,TheRubyMoon,159910
10,33TAILS,135713
11,brendangelo,101950
12,fayethesmol,101018
13,bman7,98788
14,AntoninZeKing,95049
15,Egorbig14,86150
16,mumei,82707
17,BlueDragon43,67864
18,MKDSLuke,67408
19,AlexW03,66343
20,Lafungo,60005
21,yicestmoi,54717
22,Crispy23,50155
23,Cirion02,47949
24,Telna,43607
25,HyperSonic7701,43477
26,Ikkatosh23,40345
27,JeroenSch,39333
28,Undead,38538
29,Magiclapras,24911
30,Marth996,24690
31,Levyorg,22254
32,McKiddy,21885
33,Comical,20631
34,PsyMar,18130
35,DiamondN1nja,17663
36,Dmo1123,17500
37,SkyImprisoned,16737
38,Cream147,16337
39,LeahKazuno,15555
40,izzyke,15119
41,PAPIOL,13221
42,LeeBoon,12893
43,Basthon,12893
44,ThePandaEmperor,12893
45,TFisher93,11526
46,floan,10647
47,Gamechamp,10472
48,MegaSephiroth47,10137
49,Sokaren,9632
50,Phillius,9537
51,SamuraiGoroh,8385
52,skedar,8352
53,blondafro,7867
54,locks,7389
55,MrVette,6195
56,Chlorate,5512
57,vgm777,5367
58,YoyoYoshi,5068
59,DarQMassacres,4920
60,Mikebloke,4885
61,IronInvoker47,4364
62,fallingmountain,4316
63,Flothaboss,4207
64,Zimer,4184
65,Smoka,4172
66,SuperVolcano,4107
67,GibGirl,3874
68,nezhi,2952
69,Warrn,2723
70,Silverboxer,2677
71,Vallu,2668
72,Gonquai,2549
73,ProInfernape,2522
74,zaldor,2456
75,charrac,2272
76,Ironninja1116,2175
77,HW456,2077
78,Ayron,2063
79,ALAKTORN,1833
80,Theeateroffood,1658
81,Pokemonmaster888,1645
82,LoreU,1615
83,Frostbyte,1586
84,Visitant,1567
85,MrExquisite,1489
86,MrRobTer12,1427
87,MahDood,1278
88,speedruntrainer,1210
89,MBuckets,1185
90,LiiGHTz,1087
91,pkaddict58,1061
92,nnmn,989
93,Jakilutra,937
94,Barthax,883
95,NintendoS.T.A.R.,845
96,F1Krazy,781
97,Sharky2107,751
98,Cimorthing,716
99,TheJimnebob,510
100,mario11011,496
