1,PMniac,20091
2,Emperor91,15753
3,AntoninZeKing,14799
4,TheRubyMoon,13238
5,packattack,12610
6,NintendoS.T.A.R.,11085
7,SkyImprisoned,10615
8,AlexW03,10525
9,Vallu,10205
10,TheBrain,10105
11,Zimer,10030
12,Sellyme,9691
13,yicestmoi,9646
14,HyperSonic7701,9207
15,SilentThunder,9119
16,Silverboxer,8887
17,BlueStar30,8163
18,yoshi24kobe,7937
19,BCL,7864
20,Grace,7594
21,Crispy23,7304
22,Undead,6432
23,wheatrich,6216
24,mumei,5767
25,LeeBoon,5682
26,33TAILS,5579
27,Lucario,5221
28,Barthax,5191
29,Mandalore,5167
30,Winslinator,5094
31,ALAKTORN,5089
32,Smoka,5008
33,Mikebloke,4852
34,SuprRooster,4828
35,Crono,4777
36,Lafungo,4661
37,Gamechamp,4533
38,Alessio954,4410
39,Chlorate,4382
40,Groudon199,4324
41,ACPlay18,4282
42,Hexcus,4194
43,Giant,4000
44,slowbro,3999
45,Djon,3958
46,SpeedFreak,3824
47,Cremdogz,3772
48,LeoMK,3762
49,Flothaboss,3704
50,earlcash05,3668
51,Prenz,3605
52,blondafro,3540
53,Ayron,3515
54,955561976,3513
55,Telna,3478
56,MelonGx,3420
57,RichardTaro,3396
58,Jumpyluff,3233
59,TB1,3212
60,FUKA63,3157
61,PAPIOL,3141
62,Nim,3109
63,Siliconian,3085
64,Ikkatosh23,3078
65,Pokemonmaster888,3004
66,Magiclapras,2990
67,cliffcat,2972
68,MrRobTer12,2949
69,ItzKy,2944
70,FocusSight,2901
71,LJMarv,2853
72,PapMario,2836
73,fidelcastro,2807
74,greycatmon,2786
75,izzyke,2744
76,Robottobutoukai,2684
77,LeahKazuno,2684
78,STL,2630
79,Al_X,2608
80,tronmaster64,2603
81,RealXXXTurkey,2595
82,Miniboss,2588
83,Salaroglio,2534
84,Starkiller,2507
85,Kirby54,2500
86,Nielske,2488
87,micmic85,2484
88,SharkofDark,2448
89,Gonquai,2446
90,malkieriking,2427
91,Jxcxb91,2411
92,mariosmurf,2392
93,GoombaNL,2366
94,Etch,2356
95,Akirry,2352
96,TRINDEL,2346
97,aweejnas,2310
98,emrald,2309
99,speedruntrainer,2302
100,usaname,2299
